id_cliente,ultima_compra,frequencia_pedidos,valor_total_gasto,dias_ultima_compra,score_recencia,score_frequencia,score_monetario,score_rfm_total
0,2011-12-09 10:26:00,3708,1469611.65,0,5,5,5,15.0
12346,2011-01-18 10:17:00,2,0.0,325,1,1,1,3.0
12347,2011-12-07 15:52:00,7,4310.0,1,5,1,5,11.0
12348,2011-09-25 13:13:00,4,1797.24,74,2,1,4,7.0
12349,2011-11-21 09:51:00,1,1757.55,18,4,1,4,9.0
12350,2011-02-02 16:01:00,1,334.40000000000003,309,1,1,2,4.0
12352,2011-11-03 14:37:00,11,1545.41,35,3,1,4,8.0
12353,2011-05-19 17:47:00,1,89.0,203,1,1,1,3.0
12354,2011-04-21 13:11:00,1,1079.4,231,1,1,4,6.0
12355,2011-05-09 13:49:00,1,459.40000000000003,213,1,1,2,4.0
12356,2011-11-17 08:40:00,3,2811.43,22,4,1,5,10.0
12357,2011-11-06 16:07:00,1,6207.67,32,3,1,5,9.0
12358,2011-12-08 10:26:00,2,1168.06,1,5,1,4,10.0
12359,2011-12-02 11:21:00,6,6182.9800000000005,7,5,1,5,11.0
12360,2011-10-18 15:22:00,3,2662.06,51,3,1,5,9.0
12361,2011-02-25 13:51:00,1,189.9,286,1,1,1,3.0
12362,2011-12-06 15:40:00,13,5154.58,2,5,1,5,11.0
12363,2011-08-22 10:18:00,2,552.0,109,2,1,3,6.0
12364,2011-12-02 10:22:00,4,1313.1,7,5,1,4,10.0
12365,2011-02-21 14:04:00,3,320.69,290,1,1,2,4.0
12367,2011-12-05 16:48:00,1,168.9,3,5,1,1,7.0
12370,2011-10-19 14:51:00,4,3541.94,50,3,1,5,9.0
12371,2011-10-26 10:16:00,2,1887.96,44,3,1,4,8.0
12372,2011-09-29 12:12:00,3,1298.04,71,2,1,4,7.0
12373,2011-02-01 13:10:00,1,364.6,310,1,1,2,4.0
12374,2011-11-14 15:37:00,1,742.9300000000001,24,4,1,3,8.0
12375,2011-12-07 11:27:00,3,455.42,2,5,1,2,8.0
12377,2011-01-28 15:45:00,2,1628.1200000000001,314,1,1,4,6.0
12378,2011-08-02 10:34:00,1,4008.62,129,2,1,5,8.0
12379,2011-09-19 10:09:00,3,850.29,81,2,1,3,6.0
12380,2011-11-18 11:27:00,5,2720.56,21,4,1,5,10.0
12381,2011-12-05 12:44:00,6,1803.96,4,5,1,4,10.0
12383,2011-06-08 08:02:00,6,1839.31,184,1,1,4,6.0
12384,2011-11-11 08:39:00,3,566.16,28,4,1,3,8.0
12386,2011-01-06 12:37:00,2,401.9,337,1,1,2,4.0
12388,2011-11-24 12:30:00,6,2780.6600000000003,15,4,1,5,10.0
12390,2011-09-21 09:33:00,1,549.84,79,2,1,3,6.0
12391,2011-11-18 12:07:00,1,439.66,21,4,1,2,7.0
12393,2011-09-28 15:41:00,4,1582.6000000000001,71,2,1,4,7.0
12394,2011-10-07 08:08:00,2,1272.48,63,3,1,4,8.0
12395,2011-11-24 12:20:00,15,2998.28,15,4,1,5,10.0
12397,2011-11-04 09:52:00,2,2409.9,35,3,1,5,9.0
12398,2011-10-25 10:27:00,1,1635.6599999999999,45,3,1,4,8.0
