codigo_produto,nome_produto,quantidade_devolvida,valor_devolvido,num_devolucoes
AMAZONFEE,AMAZON FEE,-32,-235281.59,32
23843,"PAPER CRAFT , LITTLE BIRDIE",-80995,-168469.6,1
M,MANUAL,-4066,-146784.46,223
23166,MEDIUM CERAMIC TOP STORAGE JAR,-74494,-77479.64,10
POST,POSTAGE,-147,-11871.24,124
22423,REGENCY CAKESTAND 3 TIER,-855,-9697.05,180
CRUK,CRUK COMMISSION,-16,-7933.43,16
BANK CHARGES,BANK CHARGES,-25,-7340.64,25
85123A,WHITE HANGING HEART T-LIGHT HOLDER,-2578,-6624.3,42
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,-3150,-6591.420000000001,3
D,DISCOUNT,-1194,-5696.22,65
23113,PANTRY CHOPPING BOARD,-946,-4803.06,6
48185,DOORMAT FAIRY CAKE,-674,-4554.9,3
21175,GIN + TONIC DIET METAL SIGN,-2030,-3775.33,7
47566B,TEA TIME PARTY BUNTING,-1424,-3692.9499999999994,7
22273,FELTCRAFT DOLL MOLLY,-1447,-3512.6499999999996,5
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1174,-3246.16,24
S,SAMPLES,-60,-3102.7,17
22191,IVORY DINER WALL CLOCK,-344,-2653.7000000000003,16
21843,RED RETROSPOT CAKE STAND,-322,-2480.5,42
85099B,JUMBO BAG RED RETROSPOT,-1115,-1984.02,43
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,-579,-1859.07,7
22655,VINTAGE RED KITCHEN CABINET,-10,-1730.5,8
22328,ROUND SNACK BOXES SET OF 4 FRUITS,-658,-1691.4999999999998,16
22835,HOT WATER BOTTLE I AM SO POORLY,-394,-1679.6999999999998,6
22838,3 TIER CAKE TIN RED AND CREAM,-128,-1671.6,14
23284,DOORMAT KEEP CALM AND COME IN,-225,-1601.25,7
23064,CINDERELLA CHANDELIER,-71,-1514.05,10
20971,PINK BLUE FELT CRAFT TRINKET BOX,-1321,-1405.01,4
23199,JUMBO BAG APPLES,-723,-1309.25,21
85232B,SET OF 3 BABUSHKA STACKING TINS,-255,-1258.05,6
84078A,SET/4 WHITE RETRO STORAGE CUBES,-35,-1248.25,8
82483,WOOD 2 DRAWER CABINET WHITE FINISH,-203,-1225.8500000000001,40
47566,PARTY BUNTING,-277,-1201.3500000000001,20
22992,REVOLVER WOODEN RULER,-716,-1193.4,8
22991,GIRAFFE WOODEN RULER,-714,-1185.8999999999999,6
22086,PAPER CHAIN KIT 50'S CHRISTMAS,-453,-1160.35,10
22149,FELTCRAFT 6 FLOWER FRIENDS,-623,-1158.3,9
22699,ROSES REGENCY TEACUP AND SAUCER,-437,-1150.3500000000001,54
21877,HOME SWEET HOME MUG,-1052,-1134.3200000000002,15
22147,FELTCRAFT BUTTERFLY HEARTS,-877,-1103.65,8
23201,JUMBO BAG ALPHABET,-594,-1076.02,14
