codigo_produto,nome_produto,quantidade_vendida,receita_total,num_pedidos
DOT,DOTCOM POSTAGE,707,206245.48,709
22423,REGENCY CAKESTAND 3 TIER,13007,164459.49,2169
47566,PARTY BUNTING,18010,98243.88,1706
85123A,WHITE HANGING HEART T-LIGHT HOLDER,35006,97659.94,2235
85099B,JUMBO BAG RED RETROSPOT,47260,92175.79,2135
23084,RABBIT NIGHT LIGHT,30631,66661.63,1009
POST,POSTAGE,3003,66230.64,1250
22086,PAPER CHAIN KIT 50'S CHRISTMAS,18876,63715.240000000005,1170
84879,ASSORTED COLOUR BIRD ORNAMENT,36282,58792.42,1467
79321,CHILLI LIGHTS,10225,53746.66,669
23298,SPOTTY BUNTING,8381,42030.670000000006,1153
22386,JUMBO BAG PINK POLKADOT,20992,41584.43,1231
21137,BLACK RECORD COVER FRAME,11636,40578.21,380
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2
22720,SET OF 3 CAKE TINS PANTRY DESIGN,7329,37378.79,1458
23284,DOORMAT KEEP CALM AND COME IN,5262,36532.39,735
22960,JAM MAKING SET WITH JARS,8459,36069.34,1220
82484,WOOD BLACK BOARD ANT WHITE FINISH,5988,35795.97,696
20725,LUNCH BAG RED RETROSPOT,18658,34717.659999999996,1607
22197,POPCORN HOLDER,36322,33959.26,839
22114,HOT WATER BOTTLE TEA AND SYMPATHY,5659,32663.34,648
22178,VICTORIAN GLASS HANGING T-LIGHT,23825,32508.42,1062
22112,CHOCOLATE HOT WATER BOTTLE,5890,32277.7,866
85099F,JUMBO BAG STRAWBERRY,16990,32047.1,828
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,10243,31912.390000000003,832
22469,HEART OF WICKER SMALL,17828,31886.65,1212
23245,SET OF 3 REGENCY CAKE TINS,6255,30697.050000000003,910
22727,ALARM CLOCK BAKELIKE RED,7729,30378.62,1081
21931,JUMBO STORAGE BAG SUKI,13317,30161.68,1201
22470,HEART OF WICKER LARGE,9820,29908.61,942
23199,JUMBO BAG APPLES,14185,29141.440000000002,999
22355,CHARLOTTE BAG SUKI DESIGN,17974,29140.56,894
23355,HOT WATER BOTTLE KEEP CALM,5720,28301.2,790
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12220,27954.63,1187
22699,ROSES REGENCY TEACUP AND SAUCER,9428,27906.570000000003,1120
22457,NATURAL SLATE HEART CHALKBOARD,9067,27839.010000000002,1266
20685,DOORMAT RED RETROSPOT,4023,27588.32,704
85099C,JUMBO  BAG BAROQUE BLACK WHITE,13619,27536.86,947
22726,ALARM CLOCK BAKELIKE GREEN,6378,27001.53,1001
23201,JUMBO BAG ALPHABET,12772,26774.81,920
21915,RED  HARMONICA IN BOX,21836,26210.33,670
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,85,26103.98,453
22666,RECIPE BOX PANTRY YELLOW DESIGN,8139,25798.9,1164
22629,SPACEBOY LUNCH BOX,14195,25626.32,908
48138,DOORMAT UNION FLAG,3739,25436.65,623
22961,JAM MAKING SET PRINTED,16065,25212.03,1174
21181,PLEASE ONE PERSON METAL SIGN,12187,25055.780000000002,855
23173,REGENCY TEAPOT ROSES,2714,24442.73,429
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5936,24318.260000000002,846
21621,VINTAGE UNION JACK BUNTING,2759,24287.83,479
22326,ROUND SNACK BOXES SET OF4 WOODLAND,8495,24246.870000000003,749
48187,DOORMAT NEW ENGLAND,3803,24076.59,602
22111,SCOTTIE DOG HOT WATER BOTTLE,4526,23910.94,778
22138,BAKING SET 9 PIECE RETROSPOT,4869,23874.170000000002,961
21731,RED TOADSTOOL LED NIGHT LIGHT,13815,23638.48,861
23203,JUMBO BAG VINTAGE DOILY,10880,23458.44,724
22189,CREAM HEART CARD HOLDER,8276,23404.22,529
23344,JUMBO BAG 50'S CHRISTMAS,10023,23285.11,723
21733,RED HANGING HEART T-LIGHT HOLDER,7815,23046.29,754
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4683,22943.87,505
21623,VINTAGE UNION JACK MEMOBOARD,3265,22940.44,225
21929,JUMBO BAG PINK VINTAGE PAISLEY,10784,22791.99,877
22139,RETROSPOT TEA SET CERAMIC 11 PC,4476,22672.96,978
22090,PAPER BUNTING RETROSPOT,7514,22588.66,806
20713,JUMBO BAG OWLS,11186,22569.63,663
82482,WOODEN PICTURE FRAME WHITE FINISH,8753,22475.510000000002,1118
22697,GREEN REGENCY TEACUP AND SAUCER,7137,22362.45,1057
85066,CREAM SWEETHEART MINI CHEST,1743,22146.15,544
20727,LUNCH BAG  BLACK SKULL.,12067,22144.76,1295
48194,DOORMAT HEARTS,3415,22090.57,595
21175,GIN + TONIC DIET METAL SIGN,9679,22017.14,766
15056N,EDWARDIAN PARASOL NATURAL,3893,21815.24,463
84029E,RED WOOLLY HOTTIE WHITE HEART.,4667,21769.28,435
20712,JUMBO BAG WOODLAND ANIMALS,9533,21665.96,872
20724,RED RETROSPOT CHARLOTTE BAG,17544,21603.079999999998,1050
21523,DOORMAT FANCY FONT HOME SWEET HOME,3240,21553.69,505
20728,LUNCH BAG CARS BLUE,11572,21371.98,1173
23202,JUMBO BAG VINTAGE LEAF,10699,21367.97,885
22630,DOLLY GIRL LUNCH BOX,11505,21131.14,860
21212,PACK OF 72 RETROSPOT CAKE CASES,36016,21047.07,1334
23206,LUNCH BAG APPLE DESIGN,12088,20755.43,1049
21166,COOK WITH WINE METAL SIGN,10237,20713.34,734
22728,ALARM CLOCK BAKELIKE PINK,5315,20518.4,799
22659,LUNCH BOX I LOVE LONDON,11182,20235.649999999998,725
21479,WHITE SKULL HOT WATER BOTTLE,3731,19946.27,503
48185,DOORMAT FAIRY CAKE,2941,19318.01,368
84946,ANTIQUE SILVER T-LIGHT GLASS,14348,19032.41,712
21843,RED RETROSPOT CAKE STAND,1690,18873.8,581
82494L,WOODEN FRAME ANTIQUE WHITE,6382,18688.54,926
22969,HOMEMADE JAM SCENTED CANDLES,12380,18585.35,654
22383,LUNCH BAG SUKI DESIGN,10158,18482.03,1103
22467,GUMBALL COAT RACK,7779,18461.170000000002,711
22501,PICNIC BASKET WICKER LARGE,1505,18429.06,464
20726,LUNCH BAG WOODLAND,9828,18148.88,1037
15036,ASSORTED COLOURS SILK FAN,23082,18064.16,522
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,16172,17837.45,307
22382,LUNCH BAG SPACEBOY DESIGN,10268,17788.96,1170
21485,RETROSPOT HEART HOT WATER BOTTLE,3504,17564.98,631
22865,HAND WARMER OWL DESIGN,8316,17528.08,665
22328,ROUND SNACK BOXES SET OF 4 FRUITS,6177,17403.47,597
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5966,17322.5,913
23203,JUMBO BAG DOILEY PATTERNS,8871,17222.93,518
22384,LUNCH BAG PINK POLKADOT,10335,17152.79,1110
22077,6 RIBBONS RUSTIC CHARM,9138,17130.52,961
22698,PINK REGENCY TEACUP AND SAUCER,5651,17058.06,801
22197,SMALL POPCORN HOLDER,20105,17008.66,603
22385,JUMBO BAG SPACEBOY DESIGN,8561,16856.45,692
82583,HOT BATHS METAL SIGN,7186,16812.8,617
22492,MINI PAINT SET VINTAGE,26437,16810.42,390
21754,HOME BUILDING BLOCK WORD,2739,16804.87,787
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,8146,16760.11,670
20719,WOODLAND CHARLOTTE BAG,13180,16657.05,843
22993,SET OF 4 PANTRY JELLY MOULDS,12581,16393.48,1082
84978,HANGING HEART JAR T-LIGHT HOLDER,12318,16247.19,758
22624,IVORY KITCHEN SCALES,1893,16241.01,724
22835,HOT WATER BOTTLE I AM SO POORLY,3047,16213.26,663
23301,GARDENERS KNEELING PAD KEEP CALM,8693,16158.45,924
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3305,16090.04,463
85152,HAND OVER THE CHOCOLATE   SIGN,8172,15793.510000000002,680
23313,VINTAGE CHRISTMAS BUNTING,2977,15734.31,403
22379,RECYCLING BAG RETROSPOT,6832,15484.94,753
15056BL,EDWARDIAN PARASOL BLACK,2714,15176.34,326
84078A,SET/4 WHITE RETRO STORAGE CUBES,380,15115.050000000001,163
22084,PAPER CHAIN KIT EMPIRE,5140,14978.42,438
84997D,CHILDRENS CUTLERY POLKADOT PINK,3662,14478.640000000001,359
22900,SET 2 TEA TOWELS I LOVE LONDON,4691,14385.83,544
48184,DOORMAT ENGLISH ROSE,2038,14252.45,414
22507,MEMO BOARD RETROSPOT  DESIGN,2953,14159.4,464
22866,HAND WARMER SCOTTY DOG DESIGN,6500,14157.420000000002,553
21930,JUMBO STORAGE BAG SKULLS,6435,13999.960000000001,708
22867,HAND WARMER BIRD DESIGN,6380,13950.590000000002,560
23200,JUMBO BAG PEARS,6933,13945.33,601
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2183,13898.07,583
22083,PAPER CHAIN KIT RETROSPOT,4560,13886.44,615
22625,RED KITCHEN SCALES,1614,13884.15,570
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4562,13823.539999999999,288
22622,BOX OF VINTAGE ALPHABET BLOCKS,1329,13779.96,272
21232,STRAWBERRY CERAMIC TRINKET BOX,10112,13703.08,758
23077,DOUGHNUT LIP GLOSS,10335,13620.77,347
22847,BREAD BIN DINER STYLE IVORY,857,13617.74,406
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,53751,13560.089999999998,540
22551,PLASTERS IN TIN SPACEBOY,8045,13554.26,681
21524,DOORMAT SPOTTY HOME SWEET HOME,1746,13523.16,483
22752,SET 7 BABUSHKA NESTING BOXES,1663,13475.97,385
23343,JUMBO BAG VINTAGE CHRISTMAS,5807,13467.03,483
22941,CHRISTMAS LIGHTS 10 REINDEER,1619,13366.67,331
23356,LOVE HOT WATER BOTTLE,2350,13280.77,478
22554,PLASTERS IN TIN WOODLAND ANIMALS,7774,13280.42,709
22558,CLOTHES PEGS RETROSPOT PACK 24,8634,13259.289999999999,783
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,2833,13239.85,410
23108,SET OF 10 LED DOLLY LIGHTS,2155,12972.92,390
22499,WOODEN UNION JACK BUNTING,2087,12768.45,409
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1684,12752.460000000001,398
23207,LUNCH BAG ALPHABET DESIGN,7382,12665.95,753
22113,GREY HEART HOT WATER BOTTLE,3193,12658.83,565
20750,RED RETROSPOT MINI CASES,1741,12587.279999999999,389
22607,WOODEN ROUNDERS GARDEN SET,1323,12494.67,362
20749,ASSORTED COLOUR MINI CASES,1754,12486.97,389
20723,STRAWBERRY CHARLOTTE BAG,9718,12485.44,734
22188,BLACK HEART CARD HOLDER,4869,12479.27,190
21790,VINTAGE SNAP CARDS,14436,12437.76,929
20971,PINK BLUE FELT CRAFT TRINKET BOX,9672,12423.09,526
