ano_mes,total_pedidos,receita_total,clientes_unicos,ticket_medio
2010-12,2025,746723.61,949,368.75
2011-01,1476,558448.5599999999,784,378.35
2011-02,1393,497026.41000000003,799,356.8
2011-03,1983,682013.98,1021,343.93
2011-04,1744,492367.841,900,282.32
2011-05,2162,722094.1,1080,333.99
2011-06,2012,689977.23,1052,342.93
2011-07,1927,680156.991,994,352.96
2011-08,1735,703510.58,981,405.48
2011-09,2327,1017596.682,1303,437.3
2011-10,2637,1069368.23,1426,405.52
2011-11,3462,1456145.8,1712,420.61
2011-12,1015,432701.06,687,426.31
